Location Name: Corporation Water,,
Date,Time,Totalizer
03-06-2025,02:50:00,531568.36
03-06-2025,02:55:00,531572.66
03-06-2025,03:00:00,531576.92
03-06-2025,03:05:00,531581.34
03-06-2025,03:10:00,531586.45
03-06-2025,03:15:00,531591.03
03-06-2025,03:20:00,531595.7
03-06-2025,03:25:00,531600.33
03-06-2025,03:30:00,531604.86
03-06-2025,03:35:00,531609.69
03-06-2025,03:40:00,531614.65
03-06-2025,03:45:00,531619.54
03-06-2025,03:50:00,531623.71
03-06-2025,03:55:00,531628.2
03-06-2025,04:00:00,531632.64
03-06-2025,04:05:00,531636.88
03-06-2025,04:10:00,531641.35
03-06-2025,04:15:00,531645.65
03-06-2025,04:20:00,531650.43
03-06-2025,04:25:00,531655.32
03-06-2025,04:30:00,531659.51
03-06-2025,04:35:00,531664.09
03-06-2025,04:40:00,531669.02
03-06-2025,04:45:00,531669.36
03-06-2025,04:50:00,531669.98
03-06-2025,04:55:00,531670.79
03-06-2025,05:00:00,531671.25
03-06-2025,05:05:00,531671.66
03-06-2025,05:10:00,531672.02
03-06-2025,05:15:00,531672.24
03-06-2025,05:20:00,531673.13
03-06-2025,05:25:00,531673.88
03-06-2025,05:30:00,531674.99
03-06-2025,05:35:00,531675.65
03-06-2025,05:40:00,531675.88
03-06-2025,05:45:00,531676.7
03-06-2025,05:50:00,531677.27
03-06-2025,05:55:00,531677.53
03-06-2025,06:00:00,531677.74
03-06-2025,06:05:00,531678.86
03-06-2025,06:10:00,531679.23
03-06-2025,06:15:00,531680.06
03-06-2025,06:20:00,531680.4
03-06-2025,06:25:00,531681.08
03-06-2025,06:30:00,531682.24
03-06-2025,06:35:00,531683.35
03-06-2025,06:40:00,531683.85
03-06-2025,06:45:00,531684.43
03-06-2025,06:50:00,531685.07
03-06-2025,06:55:00,531685.29
03-06-2025,07:00:00,531686.36
03-06-2025,07:05:00,531686.88
03-06-2025,07:10:00,531687.82
03-06-2025,07:15:00,531688.11
03-06-2025,07:20:00,531688.97
03-06-2025,07:25:00,531689.73
03-06-2025,07:30:00,531690.88
03-06-2025,07:35:00,531691.57
03-06-2025,07:40:00,531692.66
03-06-2025,07:45:00,531693.34
03-06-2025,07:50:00,531694.19
03-06-2025,07:55:00,531694.66
03-06-2025,08:00:00,531695.07
03-06-2025,08:05:00,531695.28
03-06-2025,08:10:00,531695.85
03-06-2025,08:15:00,531696.9
03-06-2025,08:20:00,531697.89
03-06-2025,08:25:00,531699.02
03-06-2025,08:30:00,531699.39
03-06-2025,08:35:00,531699.88
03-06-2025,08:40:00,531700.39
03-06-2025,08:45:00,531701.27
03-06-2025,08:50:00,531701.57
03-06-2025,08:55:00,531702.12
03-06-2025,09:00:00,531703.36
03-06-2025,09:05:00,531704.23
03-06-2025,09:10:00,531705.4
03-06-2025,09:15:00,531705.95
03-06-2025,09:20:00,531706.43
03-06-2025,09:25:00,531707.29
03-06-2025,09:30:00,531707.97
03-06-2025,09:35:00,531709.22
03-06-2025,09:40:00,531710.32
03-06-2025,09:45:00,531711.54
03-06-2025,09:50:00,531712.18
03-06-2025,09:55:00,531713.52
03-06-2025,10:00:00,531714.93
03-06-2025,10:05:00,531716.37
03-06-2025,10:10:00,531717.11
03-06-2025,10:15:00,531718.21
03-06-2025,10:20:00,531718.72
03-06-2025,10:25:00,531719.54
03-06-2025,10:30:00,531720.64
03-06-2025,10:35:00,531721.36
03-06-2025,10:40:00,531721.98
03-06-2025,10:45:00,531723.23
03-06-2025,10:50:00,531723.92
03-06-2025,10:55:00,531724.8
03-06-2025,11:00:00,531725.83
03-06-2025,11:05:00,531726.85
03-06-2025,11:10:00,531727.46
03-06-2025,11:15:00,531728.54
03-06-2025,11:20:00,531729.09
03-06-2025,11:25:00,531729.78
03-06-2025,11:30:00,531730.52
03-06-2025,11:35:00,531731.63
03-06-2025,11:40:00,531732.15
03-06-2025,11:45:00,531733.03
03-06-2025,11:50:00,531733.77
03-06-2025,11:55:00,531734.88
03-06-2025,12:00:00,531735.8
03-06-2025,12:05:00,531737.07
03-06-2025,12:10:00,531738.22
03-06-2025,12:15:00,531739.58
03-06-2025,12:20:00,531740.15
03-06-2025,12:25:00,531740.8
03-06-2025,12:30:00,531741.38
03-06-2025,12:35:00,531742.5
03-06-2025,12:40:00,531743.66
03-06-2025,12:45:00,531744.51
03-06-2025,12:50:00,531745.77
03-06-2025,12:55:00,531746.52
03-06-2025,13:00:00,531747.32
03-06-2025,13:05:00,531748.17
03-06-2025,13:10:00,531748.78
03-06-2025,13:15:00,531749.79
03-06-2025,13:20:00,531750.45
03-06-2025,13:25:00,531751.28
03-06-2025,13:30:00,531752
03-06-2025,13:35:00,531753.11
03-06-2025,13:40:00,531753.92
03-06-2025,13:45:00,531754.39
03-06-2025,13:50:00,531755.65
03-06-2025,13:55:00,531756.29
03-06-2025,14:00:00,531757.19
03-06-2025,14:05:00,531758.37
03-06-2025,14:10:00,531759.24
03-06-2025,14:15:00,531759.84
03-06-2025,14:20:00,531760.53
03-06-2025,14:25:00,531761.06
03-06-2025,14:30:00,531762.24
03-06-2025,14:35:00,531762.97
03-06-2025,14:40:00,531763.7
03-06-2025,14:45:00,531764.53
03-06-2025,14:50:00,531765.15
03-06-2025,14:55:00,531766.24
03-06-2025,15:00:00,531767.17
03-06-2025,15:05:00,531767.94
03-06-2025,15:10:00,531769.37
03-06-2025,15:15:00,531769.98
03-06-2025,15:20:00,531771.27
03-06-2025,15:25:00,531772.62
03-06-2025,15:30:00,531773.95
03-06-2025,15:35:00,531774.94
03-06-2025,15:40:00,531776.12
03-06-2025,15:45:00,531777.38
03-06-2025,15:50:00,531778.6
03-06-2025,15:55:00,531779.24
03-06-2025,16:00:00,531779.94
03-06-2025,16:05:00,531780.44
03-06-2025,16:10:00,531781.25
03-06-2025,16:15:00,531782.11
03-06-2025,16:20:00,531782.73
03-06-2025,16:25:00,531783.24
03-06-2025,16:30:00,531783.94
03-06-2025,16:35:00,531785.24
03-06-2025,16:40:00,531786.02
03-06-2025,16:45:00,531787.07
03-06-2025,16:50:00,531787.85
03-06-2025,16:55:00,531788.79
03-06-2025,17:00:00,531790.22
03-06-2025,17:05:00,531790.79
03-06-2025,17:10:00,531791.49
03-06-2025,17:15:00,531792.08
03-06-2025,17:20:00,531793.27
03-06-2025,17:25:00,531794.65
03-06-2025,17:30:00,531795.52
03-06-2025,17:35:00,531796.41
03-06-2025,17:40:00,531797.4
03-06-2025,17:45:00,531798.35
03-06-2025,17:50:00,531799.02
03-06-2025,17:55:00,531800.08
03-06-2025,18:00:00,531800.72
03-06-2025,18:05:00,531807.48
03-06-2025,18:10:00,531813.51
03-06-2025,18:15:00,531819.54
03-06-2025,18:20:00,531825.93
03-06-2025,18:25:00,531831.92
03-06-2025,18:30:00,531837.94
03-06-2025,18:35:00,531843.82
03-06-2025,18:40:00,531850.24
03-06-2025,18:45:00,531857.02
03-06-2025,18:50:00,531863.39
03-06-2025,18:55:00,531870.16
03-06-2025,19:00:00,531876.71
03-06-2025,19:05:00,531883.46
03-06-2025,19:10:00,531889.52
03-06-2025,19:15:00,531895.79
03-06-2025,19:20:00,531901.99
03-06-2025,19:25:00,531908.58
03-06-2025,19:30:00,531914.69
03-06-2025,19:35:00,531921.04
03-06-2025,19:40:00,531927.82
03-06-2025,19:45:00,531934.52
03-06-2025,19:50:00,531940.63
03-06-2025,19:55:00,531946.47
03-06-2025,20:00:00,531952.49
03-06-2025,20:05:00,531958.6
03-06-2025,20:10:00,531964.59
03-06-2025,20:15:00,531971.33
03-06-2025,20:20:00,531977.84
03-06-2025,20:25:00,531983.73
03-06-2025,20:30:00,531989.65
03-06-2025,20:35:00,531995.57
03-06-2025,20:40:00,532001.52
03-06-2025,20:45:00,532007.97
03-06-2025,20:50:00,532014.16
03-06-2025,20:55:00,532020
03-06-2025,21:00:00,532026.51
03-06-2025,21:05:00,532032.68
03-06-2025,21:10:00,532039.2
03-06-2025,21:15:00,532045.44
03-06-2025,21:20:00,532052.26
03-06-2025,21:25:00,532058.38
03-06-2025,21:30:00,532064.86
03-06-2025,21:35:00,532070.71
03-06-2025,21:40:00,532076.94
03-06-2025,21:45:00,532083.18
03-06-2025,21:50:00,532089.48
03-06-2025,21:55:00,532096.22
03-06-2025,22:00:00,532103.03
